Subject;IndAlpha_ReportedBefore;IndBeta_ReportedBefore;IndMu_ReportedBefore;SocAlpha_ReprotedBefore;SocBeta_ReportedBefore;SocMu_ReportedBefore;IndLL_ReportedBefore;SocLL_ReportedBefore;Agegroup;Sex;Age;OrderConditions;ResistanceToPeerInfluence;NeedForArousal;ARQ_Thrillseeking_Perception;ARQ_Rebellious_Perception;ARQ_Reckless_Perception;ARQ_Antisocial_Perception;ARQ_Thrillseeking_Behavior;ARQ_Rebellious_Behavior;ARQ_Reckless_Behavior;ARQ_Antisocial_Behavior;BISBAS_Drive;BISBAS_Funseeking;BISBAS_Reward;BISBAS_Bis;BIS11_Scale1;BIS11_Scale2;BIS11_Scale3;BIS11_Scale4;IRI_PerspectiveTaking;IQ_Plus;OthersFaceName;TryBestHowMuch;HowNiceTask;HowHardTask;HowMuchAttentiontoAmount;HowMuchAttentiontoAmbiguity;HowMuchAttentiontoRisk;HowMuchAttentiontoOther;GuessWhatsUnderAmbiguity1;GuessWhatsUnderAmbiguity2;GuessWhatsUnderAmbiguity3;Peer_Believe;Peer_Wise;Peer_Nice;Peer_Old;Peer_Smart;EducationallevelAdolescents;EducationallevelAdults;Occupation_mother;Occupation_father;School;VAR00001;Like_Sociometrics;Dislike_Sociometrics;Impact_Sociometrics;Pref_Sociometrics;ProbLike_Sociometrics;ProbDisl_Sociometrics;ProbImp_Sociometrics;ProbPref_Sociometrics;ZLike_Sociometrics;ZDislike_Sociometrics;ZImpact_Sociometrics;ZPref_Sociometrics;ZStatus_Sociometrics;PStat1_Sociometrics;GRDStat1_Sociometrics;NSymLike_Sociometrics;NSymDisl_Sociometrics
101;0.55;0.49;0.48;0.57;0.34;0.78;76.93;109.74;1;1;10.82;2;2.70;24.48;2;2;3;1;0;0;0;1;10.00;10.00;17.00;15.00;21;14;24;59;21;130.00;Jesse.jpg;9.00;9.00;2.00;1.00;6.00;6.00;1.00;2.00;1.00;3.00;0.00;0.00;3.00;2.00;0.00;#NULL!;#NULL!;Stichting Welzijn Ouderen;editor bij RTL;1.00;#NULL!;1;5;6;-4;0.04800;0.97370;0.53350;0.00710;-1.128;1.009;-0.013;-1.209;5;5;5;0;2
102;0.50;0.39;0.41;0.51;0.24;0.38;76.02;69.41;1;1;10.14;1;2.30;33.33;2;3;4;2;1;0;0;2;12.00;13.00;17.00;20.00;23;17;28;68;17;109.00;Jesse.jpg;9.00;9.00;9.00;9.00;9.00;9.00;9.00;2.00;3.00;2.00;4.00;9.00;4.00;3.00;1.00;#NULL!;#NULL!;Ze doet iets met apotheker;hij gaat naar klanten toe en helpt ze met dingen die over het gebit gaan;1.00;#NULL!;2;6;8;-4;0.15680;0.99380;0.84130;0.00710;-0.738;1.361;0.765;-1.209;5;5;5;2;1
104;0.39;1.00;0.44;0.57;0.57;1.37;76.84;138.82;1;0;11.02;1;2.00;54.82;3;3;4;3;1;0;0;2;9.00;13.00;18.00;16.00;21;14;29;64;18;97.00;Denise.jpg;4.00;3.00;5.00;0.00;2.00;1.00;2.00;2.00;2.00;3.00;1.00;3.00;6.00;3.00;4.00;#NULL!;#NULL!;Leo farma;ABN-amro;1.00;#NULL!;3;0;3;3;0.33850;0.16040;0.07680;0.69450;-0.349;-0.753;-1.181;0.261;3;2;2;3;0
106;0.60;-0.16;0.59;0.84;-0.44;0.68;83.46;59.30;1;0;10.04;1;3.40;44.27;2;3;3;3;1;0;0;1;10.00;11.00;16.00;22.00;17;15;26;58;23;118.00;Dewi.jpg;9.00;9.00;1.00;1.00;3.00;5.00;2.00;2.00;3.00;1.00;6.00;6.00;8.00;2.00;6.00;#NULL!;#NULL!;hypnose voor als je buikpijn hebt;danone;1.00;#NULL!;10;0;10;10;0.99860;0.13750;0.96330;0.99960;2.376;-0.753;1.543;1.730;1;1;1;5;0
107;0.65;0.74;1.14;0.51;0.38;0.98;116.82;131.99;1;0;10.92;2;2.90;52.47;2;0;1;1;1;0;0;1;11.00;9.00;16.00;16.00;22;20;30;72;15;127.00;Maud.jpg;4.00;3.00;0.00;0.00;0.00;0.00;5.00;3.00;2.00;2.00;0.00;0.00;7.00;1.00;4.00;#NULL!;#NULL!;ze werkt bij stern auto;loodgieter;1.00;#NULL!;5;0;5;5;0.74250;0.16740;0.34710;0.90520;0.430;-0.753;-0.402;0.680;2;2;2;3;0
108;0.56;0.50;0.61;0.64;0.37;0.90;92.53;87.34;1;1;10.36;1;2.50;56.90;3;3;4;3;2;0;0;2;8.00;10.00;14.00;20.00;20;15;23;58;20;88.00;Bram.jpg;9.00;8.00;5.00;5.00;6.00;8.00;6.00;2.00;2.00;3.00;2.00;4.00;8.00;2.00;6.00;#NULL!;#NULL!;wilde ganzen;ING;1.00;#NULL!;1;4;5;-3;0.04800;0.88530;0.31680;0.02810;-1.128;0.656;-0.402;-0.999;2;2;5;1;0
109;0.73;0.59;1.09;0.97;0.57;2.29;101.66;105.39;1;1;10.32;2;2.80;38.15;2;2;3;2;0;0;0;0;12.00;11.00;16.00;16.00;19;12;25;56;18;88.00;Bram.jpg;8.00;5.00;5.00;6.00;6.00;5.00;2.00;1.00;2.00;1.00;2.00;0.00;1.00;3.00;7.00;#NULL!;#NULL!;pabo;werkt met computers;1.00;#NULL!;6;1;7;5;0.87450;0.21020;0.67740;0.91330;0.819;-0.401;0.376;0.680;2;2;2;3;0
110;0.53;0.44;0.41;0.55;1.00;0.58;69.58;77.80;1;1;10.74;1;3.20;61.46;2;3;4;3;1;0;0;1;8.00;11.00;12.00;14.00;18;16;26;60;18;118.00;Andrew.jpg;9.00;8.00;4.00;3.00;9.00;6.00;0.00;1.00;1.00;2.00;1.00;2.00;7.00;3.00;5.00;#NULL!;#NULL!;;iets met computers;1.00;#NULL!;3;3;6;0;0.33850;0.75740;0.52670;0.23120;-0.349;0.304;-0.013;-0.369;2;2;2;3;1
111;0.42;-0.37;0.49;0.58;-0.63;0.48;106.01;73.24;1;0;10.00;2;2.90;49.35;2;3;3;2;1;0;0;1;10.00;11.00;13.00;17.00;21;18;29;68;20;109.00;Dide.jpg;5.00;5.00;0.00;5.00;4.00;6.00;1.00;2.00;2.00;2.00;3.00;0.00;3.00;2.00;2.00;#NULL!;#NULL!;juf;iets technisch;1.00;#NULL!;2;1;3;1;0.15250;0.22260;0.07020;0.38210;-0.738;-0.401;-1.181;-0.159;3;2;2;2;0
112;0.45;0.39;0.39;0.49;0.98;0.48;79.40;71.91;1;1;10.43;1;2.80;60.42;3;4;4;2;1;0;0;1;12.00;13.00;17.00;19.00;20;17;26;63;16;115.00;Nick.jpg;7.00;6.00;0.00;9.00;2.00;5.00;4.00;1.00;1.00;1.00;5.00;3.00;0.00;2.00;8.00;#NULL!;#NULL!;Ze werkt bij grootgoylant;Hij werkt bij een reclame bureau;1.00;#NULL!;2;3;5;-1;0.15680;0.74880;0.33460;0.12790;-0.738;0.304;-0.402;-0.579;2;2;2;2;1
